Classification by SCF lines: 
1: 1032674598 - 293 CFs 
2: 1032674895 - 6 CFs 
3: 1032675498 - 1 CFs 
4: 1032675894 - 10 CFs 
5: 1032678945 - 4 CFs 
6: 1032678954 - 1 CFs 
8: 1032684975 - 3 CFs 
9: 1032685947 - 3 CFs 
10: 1032685974 - 4 CFs 
11: 1032687495 - 3 CFs 
12: 1032689475 - 3 CFs 
13: 1032689574 - 1 CFs 
14: 1034268957 - 2 CFs 
15: 1034268975 - 2 CFs 
17: 1034275896 - 10 CFs 
18: 1034278956 - 4 CFs 
19: 1034278965 - 3 CFs 
20: 1034625897 - 6 CFs 
21: 1034628597 - 4 CFs 
22: 1034628957 - 10 CFs 
23: 1034628975 - 10 CFs 
24: 1034678925 - 13 CFs 
25: 1034678952 - 6 CFs 
26: 1034682975 - 4 CFs 
27: 1034685927 - 4 CFs 
28: 1034685972 - 8 CFs 
29: 1034687925 - 4 CFs 
30: 1034687952 - 3 CFs 
31: 1034689527 - 10 CFs 
32: 1034689572 - 9 CFs 
33: 1034728956 - 7 CFs 
34: 1034728965 - 1 CFs 
35: 1034785926 - 6 CFs 
36: 1034785962 - 8 CFs 
37: 1034869527 - 5 CFs 
38: 1034875926 - 6 CFs 
39: 1034875962 - 7 CFs 
40: 1034895627 - 2 CFs 
41: 1034895672 - 4 CFs 
43: 1037685942 - 6 CFs 
47: 1204637958 - 10 CFs 
48: 1204678935 - 3 CFs 
49: 1204678953 - 8 CFs 
50: 1204785936 - 3 CFs 
51: 1204785963 - 3 CFs 
52: 1204789365 - 4 CFs 
53: 1204789563 - 4 CFs 
54: 1204798536 - 2 CFs 
55: 1204798653 - 2 CFs 
56: 1230675948 - 6 CFs 
57: 1230678954 - 2 CFs 
58: 1230679458 - 8 CFs 
59: 1234075968 - 1 CFs 
60: 1234078956 - 1 CFs 
61: 1234095678 - 1 CFs 
62: 1234608975 - 5 CFs 
63: 1234675908 - 3 CFs 
64: 1234689507 - 6 CFs 
65: 1234698057 - 4 CFs 
66: 1237685904 - 4 CFs 
67: 1237695408 - 8 CFs 
